City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
503,lebork,54.5392,17.7501,273.41,79,34,1.54,PL,1674554903
504,petropavlovsk-kamchatskiy,53.0452,158.6483,257.63,80,37,4.08,RU,1674554903
505,leningradskiy,69.3833,178.4167,242.09,92,20,3.97,RU,1674554903
506,juan lacaze,-34.4342,-57.4381,292.19,48,11,6.18,UY,1674554903
507,gravdal,68.1214,13.5031,276.09,60,75,6.17,NO,1674554903
508,meulaboh,4.1363,96.1285,299.06,85,79,5.32,ID,1674554904
509,baft,29.234,56.6057,275.6,38,0,4.1,IR,1674554904
510,krasnotorka,48.682,37.5327,276.21,51,54,6.26,UA,1674554904
511,alanya,36.5438,31.9998,291.22,41,0,1.82,TR,1674554904
512,porto nacional,-10.7081,-48.4172,295.15,95,90,0.48,BR,1674554905
513,miri,4.4148,114.0089,298.27,91,99,5.43,MY,1674554905
514,dalmatovo,56.26,62.9362,265.54,92,9,3.41,RU,1674554905
515,isiro,2.7739,27.616,305.84,23,98,1.22,CD,1674554905
516,butwal,27.7006,83.4484,297.96,31,2,1.94,NP,1674554905
517,solnechnyy,50.7214,136.6319,239.6,98,100,1.89,RU,1674554906
518,sorong,-0.8833,131.25,300.31,79,100,2.49,ID,1674554906
519,freeport,40.6576,-73.5832,276.25,66,100,5.14,US,1674554768
520,sfantu gheorghe,45.8667,25.7833,277.74,56,19,2.76,RO,1674554906
521,madera,37.1666,-119.8343,280.97,95,0,1.98,US,1674554907
522,cuenca,-2.8833,-78.9833,284.72,97,100,1.18,EC,1674554844
523,mandurah,-32.55,115.7,299.29,55,2,11.85,AU,1674554806
524,yar-sale,66.8333,70.8333,261.72,95,100,6.67,RU,1674554907
525,beruwala,6.4788,79.9828,299.64,79,96,2.21,LK,1674554907
526,ogembo,-0.7984,34.7253,300.56,30,83,2.65,KE,1674554907
527,merauke,-8.4667,140.3333,299.79,81,100,2.71,ID,1674554907
528,dubti,11.7361,41.0853,303.39,27,34,4.09,ET,1674554908
529,yuanping,38.7153,112.7575,259.32,21,0,0.35,CN,1674554908
530,kysyl-syr,63.8986,122.7617,231.1,99,100,2.24,RU,1674554908
531,varhaug,58.6147,5.6457,279.9,98,100,3.57,NO,1674554908
532,beysehir,37.6773,31.7246,282.61,43,0,0.64,TR,1674554909
533,chapais,49.7834,-74.8492,267.03,95,100,4.81,CA,1674554909
534,flinders,-34.5833,150.8552,295.58,80,98,1.43,AU,1674554909
535,baykit,61.67,96.37,238.41,99,54,1.38,RU,1674554909
536,taman,45.2117,36.7161,279.98,64,0,6.68,RU,1674554909
537,derac,19.65,-71.8167,293.9,76,4,2.0,HT,1674554910
538,cerrito,6.8432,-72.694,281.83,88,83,3.56,CO,1674554910
539,saint pete beach,27.7253,-82.7412,285.38,70,77,1.79,US,1674554910
540,anadyr,64.75,177.4833,244.64,88,49,1.98,RU,1674554910
541,acapulco,16.8634,-99.8901,294.05,78,0,1.03,MX,1674554910
542,doka,13.5167,35.7667,307.27,19,6,4.31,SD,1674554910
543,cedar city,37.6775,-113.0619,262.69,79,100,2.06,US,1674554911
544,bandarbeyla,9.4942,50.8122,298.56,60,96,8.81,SO,1674554911
545,praia da vitoria,38.7333,-27.0667,288.57,86,95,7.92,PT,1674554911
546,shenjiamen,29.9576,122.298,273.44,52,27,12.94,CN,1674554911
547,port-cartier,50.0334,-66.8654,264.68,96,40,2.79,CA,1674554911
548,santa ana huista,15.6833,-91.8167,288.61,69,2,2.0,GT,1674554912
549,batticaloa,7.7102,81.6924,299.38,69,95,5.05,LK,1674554912
550,goma,-1.6792,29.2228,296.99,53,100,1.73,CD,1674554912
551,calabozo,8.9242,-67.4293,297.43,66,99,4.23,VE,1674554912
552,port lincoln,-34.7333,135.8667,289.93,78,0,7.18,AU,1674554912
553,zheleznodorozhnyy,55.7503,38.0042,272.38,91,68,2.53,RU,1674554912
554,kanniyakumari,8.0833,77.5667,300.3,72,100,6.79,IN,1674554913
555,arman,59.7,150.1667,246.95,84,100,5.75,RU,1674554913
556,azare,11.6765,10.1948,303.31,10,36,4.38,NG,1674554914
557,ulaangom,49.9811,92.0667,249.96,98,100,0.82,MN,1674554914
558,umm lajj,25.0213,37.2685,296.96,50,0,3.45,SA,1674554914
559,bac lieu,9.285,105.7244,299.71,74,52,8.8,VN,1674554747
560,port hardy,50.6996,-127.4199,278.67,96,100,5.63,CA,1674554914
561,andenes,69.3143,16.1194,276.14,60,75,12.86,NO,1674554914
562,alakurtti,66.9672,30.3491,270.69,92,61,4.25,RU,1674554914
563,russell,32.3502,-85.1999,274.72,93,0,0.0,US,1674554915
